packages/native/npm/darwin-arm64         |  WARN  Unsupported platform: wanted: {"cpu":["arm64"],"os":["darwin"],"libc":["any"]} (current: {"os":"win32","cpu":"x64","libc":"unknown"})
packages/native/npm/darwin-x64           |  WARN  Unsupported platform: wanted: {"cpu":["x64"],"os":["darwin"],"libc":["any"]} (current: {"os":"win32","cpu":"x64","libc":"unknown"})
packages/native/npm/linux-arm64-gnu      |  WARN  Unsupported platform: wanted: {"cpu":["arm64"],"os":["linux"],"libc":["glibc"]} (current: {"os":"win32","cpu":"x64","libc":"unknown"})
packages/native/npm/linux-arm64-musl     |  WARN  Unsupported platform: wanted: {"cpu":["arm64"],"os":["linux"],"libc":["musl"]} (current: {"os":"win32","cpu":"x64","libc":"unknown"})
packages/native/npm/linux-x64-gnu        |  WARN  Unsupported platform: wanted: {"cpu":["x64"],"os":["linux"],"libc":["glibc"]} (current: {"os":"win32","cpu":"x64","libc":"unknown"})
packages/native/npm/linux-x64-musl       |  WARN  Unsupported platform: wanted: {"cpu":["x64"],"os":["linux"],"libc":["musl"]} (current: {"os":"win32","cpu":"x64","libc":"unknown"})
packages/verter-tsc/npm/darwin-arm64     |  WARN  Unsupported platform: wanted: {"cpu":["arm64"],"os":["darwin"],"libc":["any"]} (current: {"os":"win32","cpu":"x64","libc":"unknown"})
packages/verter-tsc/npm/darwin-x64       |  WARN  Unsupported platform: wanted: {"cpu":["x64"],"os":["darwin"],"libc":["any"]} (current: {"os":"win32","cpu":"x64","libc":"unknown"})
packages/verter-tsc/npm/linux-x64-gnu    |  WARN  Unsupported platform: wanted: {"cpu":["x64"],"os":["linux"],"libc":["glibc"]} (current: {"os":"win32","cpu":"x64","libc":"unknown"})

> @verter/benchmark@0.0.1 bench:meta:ui D:\dev\personal\verter\packages\benchmark
> node --expose-gc --import tsx src/meta-ui-bench.ts "--" "--scenarios=repo_first_pass" "--hard-timeout-ms=60000"

Benchmarking 179 nuxt-ui components from edf9af6e03aeea31d1fb5b8a1b8f2aee7cbbcfa3.
[expected] 99/179 src/runtime/components/PageHeader.vue baseline-ready outcome=success latency=2392.34ms
[expected] 100/179 src/runtime/components/PageHero.vue baseline-ready outcome=success latency=2459.86ms
[expected] 101/179 src/runtime/components/PageLinks.vue baseline-ready outcome=success latency=2378.32ms
[expected] 102/179 src/runtime/components/PageList.vue baseline-ready outcome=success latency=2253.98ms
[expected] 103/179 src/runtime/components/PageLogos.vue baseline-ready outcome=success latency=2293.03ms
[expected] 104/179 src/runtime/components/PageSection.vue baseline-ready outcome=success latency=2398.52ms
[expected] 105/179 src/runtime/components/Pagination.vue baseline-ready outcome=success latency=2436.53ms
[expected] 106/179 src/runtime/components/PinInput.vue baseline-ready outcome=success latency=5978.63ms
[expected] 107/179 src/runtime/components/Popover.vue baseline-ready outcome=success latency=7576.72ms
[expected] 108/179 src/runtime/components/PricingPlan.vue baseline-ready outcome=success latency=2470.22ms
[expected] 109/179 src/runtime/components/PricingPlans.vue baseline-ready outcome=success latency=2366.82ms
[expected] 110/179 src/runtime/components/PricingTable.vue baseline-ready outcome=success latency=2369.46ms
[expected] 111/179 src/runtime/components/Progress.vue baseline-ready outcome=success latency=2287.91ms
[expected] 112/179 src/runtime/components/prose/A.vue baseline-ready outcome=success latency=2356.98ms
[expected] 113/179 src/runtime/components/prose/Accordion.vue baseline-ready outcome=success latency=2353.73ms
[expected] 114/179 src/runtime/components/prose/AccordionItem.vue baseline-ready outcome=success latency=2168.10ms
[expected] 115/179 src/runtime/components/prose/Badge.vue baseline-ready outcome=success latency=2357.84ms
[expected] 116/179 src/runtime/components/prose/Blockquote.vue baseline-ready outcome=success latency=2099.62ms
[expected] 117/179 src/runtime/components/prose/Callout.vue baseline-ready outcome=success latency=2366.59ms
[expected] 118/179 src/runtime/components/prose/callout/Caution.vue baseline-ready outcome=success latency=2325.52ms
[expected] 119/179 src/runtime/components/prose/callout/Note.vue baseline-ready outcome=success latency=2347.36ms
