CAUGHT-BY-NAMED-CONTROL RC7_json_drift | expected [boundary_replay_drift_and_no_value_clauses_fail] | failing [u6_flow_shape_corpus_tests::u6_flow_expect_tests::expectation_controls::boundary_replay_drift_and_no_value_clauses_fail] | Summary [   2.068s] 47 tests run: 46 passed, 1 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL F1_refusal_value_first | expected [refusal_comparator_clauses_fail_individually] | failing [u6_flow_shape_corpus_tests::u6_flow_expect_tests::expectation_controls::refusal_comparator_clauses_fail_individually] | Summary [   2.162s] 47 tests run: 46 passed, 1 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL F2_refusal_first_warm | expected [refusal_comparator_clauses_fail_individually] | failing [u6_flow_shape_corpus_tests::u6_flow_expect_tests::expectation_controls::refusal_comparator_clauses_fail_individually] | Summary [   2.161s] 47 tests run: 46 passed, 1 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL F3_refusal_first_cold | expected [refusal_comparator_clauses_fail_individually] | failing [u6_flow_shape_corpus_tests::u6_flow_expect_tests::expectation_controls::refusal_comparator_clauses_fail_individually] | Summary [   2.026s] 47 tests run: 46 passed, 1 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL F4_refusal_second_class | expected [refusal_comparator_clauses_fail_individually] | failing [u6_flow_shape_corpus_tests::u6_flow_expect_tests::expectation_controls::refusal_comparator_clauses_fail_individually] | Summary [   2.065s] 47 tests run: 46 passed, 1 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL F5_refusal_non_admission | expected [refusal_comparator_clauses_fail_individually, cell_no_value_arm_rejects_a_cached_refusal] | failing [u6_flow_shape_corpus_tests::u6_flow_expect_tests::expectation_controls::refusal_comparator_clauses_fail_individually, u6_flow_shape_corpus_tests::u6_flow_expect_tests::matrix_outcome_controls::cell_no_value_arm_rejects_a_cached_refusal] | Summary [   2.117s] 47 tests run: 45 passed, 2 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL F6_refusal_recompute | expected [refusal_comparator_clauses_fail_individually] | failing [u6_flow_shape_corpus_tests::u6_flow_expect_tests::expectation_controls::refusal_comparator_clauses_fail_individually] | Summary [   1.974s] 47 tests run: 46 passed, 1 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL C1_cell_novalue_class | expected [cell_outcome_class_clauses_reject_the_opposite_class] | failing [u6_flow_shape_corpus_tests::u6_flow_expect_tests::matrix_outcome_controls::cell_outcome_class_clauses_reject_the_opposite_class] | Summary [   2.037s] 47 tests run: 46 passed, 1 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL C2_cell_value_class | expected [cell_outcome_class_clauses_reject_the_opposite_class] | failing [u6_flow_shape_corpus_tests::u6_flow_expect_tests::matrix_outcome_controls::cell_outcome_class_clauses_reject_the_opposite_class] | Summary [   2.100s] 47 tests run: 46 passed, 1 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL C3_cell_rendered | expected [cell_value_clauses_each_reject_a_wrong_pin] | failing [u6_flow_shape_corpus_tests::u6_flow_expect_tests::matrix_outcome_controls::cell_value_clauses_each_reject_a_wrong_pin] | Summary [   2.097s] 47 tests run: 46 passed, 1 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL C4_cell_degradation | expected [cell_value_clauses_each_reject_a_wrong_pin] | failing [u6_flow_shape_corpus_tests::u6_flow_expect_tests::matrix_outcome_controls::cell_value_clauses_each_reject_a_wrong_pin] | Summary [   2.178s] 47 tests run: 46 passed, 1 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL C5_cell_replay_delegation | expected [cell_value_clauses_each_reject_a_wrong_pin] | failing [u6_flow_shape_corpus_tests::u6_flow_expect_tests::matrix_outcome_controls::cell_value_clauses_each_reject_a_wrong_pin] | Summary [   1.986s] 47 tests run: 46 passed, 1 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL C6_cell_refusal_delegation | expected [cell_no_value_arm_rejects_a_cached_refusal] | failing [u6_flow_shape_corpus_tests::u6_flow_expect_tests::matrix_outcome_controls::cell_no_value_arm_rejects_a_cached_refusal] | Summary [   2.070s] 47 tests run: 46 passed, 1 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL K1_checker_string_eq | expected [checker_column_mutations_are_rejected_semantically] | failing [u6_flow_shape_corpus_tests::corpus_suite::checker_column_mutations_are_rejected_semantically] | Summary [   2.021s] 47 tests run: 46 passed, 1 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL K2_checker_union_assign | expected [checker_column_mutations_are_rejected_semantically] | failing [u6_flow_shape_corpus_tests::corpus_suite::checker_column_mutations_are_rejected_semantically] | Summary [   2.030s] 47 tests run: 46 passed, 1 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL K3_checker_intersection_order | expected [checker_column_mutations_are_rejected_semantically] | failing [u6_flow_shape_corpus_tests::corpus_suite::checker_column_mutations_are_rejected_semantically] | Summary [   2.110s] 47 tests run: 46 passed, 1 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL K4_checker_ref_name | expected [checker_column_mutations_are_rejected_semantically] | failing [u6_flow_shape_corpus_tests::corpus_suite::checker_column_mutations_are_rejected_semantically] | Summary [   2.079s] 47 tests run: 46 passed, 1 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL K5_checker_primitive_eq | expected [checker_column_mutations_are_rejected_semantically] | failing [u6_flow_shape_corpus_tests::corpus_suite::checker_column_mutations_are_rejected_semantically] | Summary [   2.041s] 47 tests run: 46 passed, 1 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL K6_checker_object_key | expected [checker_column_mutations_are_rejected_semantically] | failing [u6_flow_shape_corpus_tests::corpus_suite::checker_column_mutations_are_rejected_semantically] | Summary [   2.181s] 47 tests run: 46 passed, 1 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL K7_checker_fn_arity | expected [checker_column_mutations_are_rejected_semantically] | failing [u6_flow_shape_corpus_tests::corpus_suite::checker_column_mutations_are_rejected_semantically] | Summary [   1.999s] 47 tests run: 46 passed, 1 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL K8_checker_fn_params | expected [checker_column_mutations_are_rejected_semantically] | failing [u6_flow_shape_corpus_tests::corpus_suite::checker_column_mutations_are_rejected_semantically] | Summary [   2.016s] 47 tests run: 46 passed, 1 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL K9_checker_fn_ret | expected [checker_column_mutations_are_rejected_semantically] | failing [u6_flow_shape_corpus_tests::corpus_suite::checker_column_mutations_are_rejected_semantically] | Summary [   2.056s] 47 tests run: 46 passed, 1 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL K10_checker_number_eq | expected [checker_column_mutations_are_rejected_semantically] | failing [u6_flow_shape_corpus_tests::corpus_suite::checker_column_mutations_are_rejected_semantically] | Summary [   2.027s] 47 tests run: 46 passed, 1 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL X85MOVE_bogus_incomparable | expected [checker_column_cross_validates_against_live_rendering] | failing [u6_flow_shape_corpus_tests::corpus_suite::checker_column_cross_validates_against_live_rendering] | Summary [   2.089s] 47 tests run: 46 passed, 1 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL N26CHK_wrong_intersection_arm | expected [deep_pinned_rows_semantic_equality_follows_their_verdict] | failing [u6_flow_shape_corpus_tests::corpus_suite::checker_column_mutations_are_rejected_semantically, u6_flow_shape_corpus_tests::corpus_suite::deep_pinned_rows_semantic_equality_follows_their_verdict] | Summary [   2.153s] 47 tests run: 45 passed, 2 failed, 8664 skipped
DONE aborted=false total=54
